#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1AA1B
#Date Time: 2019-11-28 15:17:11.989
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V
#Channel 2: Range: 1 V/div Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
1.68693,2.98007,0.59238
1.68693,3.01322,0.806914
1.68693,3.00585,2.44319
1.68693,2.93587,3.21406
1.68693,2.58227,2.49046
1.68693,2.41284,2.85408
1.68693,2.30603,3.07952
1.68693,2.21026,2.89408
1.68693,2.0261,2.89408
1.68693,2.00031,3.02862
1.68693,1.90086,2.95589
1.68693,1.85298,2.77772
1.68693,1.82352,1.0869
1.68693,1.89718,0.257852
1.68693,2.26919,1.06508
1.68693,2.45336,0.745099
1.68693,2.57122,0.414207
1.68693,2.68172,0.654195
1.68693,2.8401,0.686921
1.68693,2.88062,0.523293
1.68693,2.96534,0.596016
1.68693,3.00953,0.781461
1.68693,3.00585,2.43956
1.68693,2.92114,3.21043
1.68693,2.57859,2.50137
1.68693,2.44231,2.82863
1.68693,2.30971,3.09043
1.68693,2.19184,2.87953
1.68693,2.01505,2.87953
1.68693,1.97821,3.02134
1.68693,1.87877,2.95226
1.68693,1.8272,2.77772
1.68693,1.83088,1.10872
1.68693,1.89718,0.25058
1.68693,2.25814,1.06872
1.68693,2.42758,0.752372
1.68693,2.57491,0.410571
1.68693,2.67804,0.63965
1.68693,2.84747,0.676012
1.68693,2.88062,0.505112
1.68693,2.95797,0.577835
1.68693,3.0169,0.79237
1.68693,3.00217,2.42865
1.68693,2.93587,3.20315
1.68693,2.57859,2.50137
1.68693,2.43126,2.8359
1.68693,2.30603,3.10498
1.68693,2.20289,2.88317
1.68693,2.04083,2.88681
1.68693,1.98926,3.01771
1.68693,1.88613,2.95589
1.68693,1.84562,2.76681
1.68693,1.81615,1.10144
1.68693,1.90823,0.257852
1.68693,2.26919,1.06508
1.68693,2.43494,0.741463
1.68693,2.56386,0.403299
1.68693,2.67804,0.646923
1.68693,2.8401,0.694193
1.68693,2.89167,0.497839
1.68693,2.96534,0.577835
1.68693,3.01322,0.79237
1.68693,3.02427,2.44683
1.68693,2.91377,3.2177
1.68693,2.58964,2.47592
1.68693,2.42389,2.8359
1.68693,2.29498,3.07589
1.68693,2.18816,2.89408
1.68693,2.02978,2.90499
1.68693,1.98558,3.02134
1.68693,1.88613,2.94862
1.68693,1.83825,2.76318
1.68693,1.81983,1.11235
1.68693,1.90823,0.26876
1.68693,2.28024,1.05054
1.68693,2.45336,0.748735
1.68693,2.55649,0.428752
1.68693,2.68541,0.643286
1.68693,2.84379,0.686921
1.68693,2.89535,0.51602
1.68693,2.98007,0.574199
1.68693,3.00217,0.788733
1.68693,3.02795,2.43592
1.68693,2.93219,3.19952
1.68693,2.58596,2.49774
1.68693,2.46072,2.8359
1.68693,2.30971,3.09043
1.68693,2.19553,2.90499
1.68693,2.01136,2.90135
1.68693,1.98558,3.02498
1.68693,1.90823,2.95226
1.68693,1.84562,2.76681
1.68693,1.8272,1.09417
1.68693,1.90823,0.265124
1.68693,2.26551,1.05054
1.68693,2.45704,0.745099
1.68693,2.56017,0.425116
1.68693,2.68909,0.636014
1.68693,2.84747,0.686921
1.68693,2.88062,0.505112
1.68693,2.95429,0.574199
1.68693,2.9948,0.799642
1.68693,3.01322,2.43956
1.68693,2.91009,3.20679
1.68693,2.58596,2.48683
1.68693,2.44599,2.83226
1.68693,2.31708,3.0868
1.68693,2.18816,2.89044
1.68693,2.03346,2.88681
1.68693,2.00031,3.02498
1.68693,1.88982,2.95589
1.68693,1.84193,2.77045
1.68693,1.8493,1.09781
1.68693,1.91191,0.261488
1.68693,2.25446,1.07599
1.68693,2.44967,0.730555
1.68693,2.57122,0.425116
1.68693,2.69646,0.654195
1.68693,2.8622,0.683284
1.68693,2.89535,0.501476
1.68693,2.96534,0.59238
1.68693,2.99848,0.806914
1.68693,3.00585,2.44319
1.68693,2.9285,3.19952
1.68693,2.59701,2.48683
1.68693,2.43862,2.81772
1.68693,2.31708,3.07952
1.68693,2.18816,2.89408
1.68693,2.01873,2.89408
1.68693,2.00031,3.01407
1.68693,1.90455,2.95589
1.68693,1.8272,2.76318
1.68693,1.84193,1.0869
1.68693,1.90823,0.265124
1.68693,2.25446,1.05417
1.68693,2.45704,0.741463
1.68693,2.55649,0.436024
1.68693,2.66331,0.654195
1.68693,2.85484,0.683284
1.68693,2.89535,0.523293
1.68693,2.95429,0.570563
1.68693,3.00217,0.796006
1.68693,3.02795,2.45047
1.68693,2.93219,3.21043
1.68693,2.60806,2.48683
1.68693,2.44231,2.8359
1.68693,2.30971,3.07589
1.68693,2.18816,2.89044
1.68693,2.03715,2.87953
1.68693,1.97821,3.00316
1.68693,1.90086,2.96317
1.68693,1.84193,2.76318
1.68693,1.8272,1.10144
1.68693,1.90086,0.26876
1.68693,2.26919,1.06872
1.68693,2.46441,0.737827
1.68693,2.55281,0.425116
1.68693,2.67804,0.654195
1.68693,2.83642,0.66874
1.68693,2.88062,0.519656
1.68693,2.9727,0.581471
1.68693,3.02058,0.770553
1.68693,3.00953,2.43956
1.68693,2.92114,3.21406
1.68693,2.60069,2.49046
1.68693,2.44599,2.8359
1.68693,2.31339,3.09407
1.68693,2.20289,2.8759
1.68693,2.02978,2.89771
1.68693,2.00031,3.01771
1.68693,1.87877,2.96317
1.68693,1.84193,2.78136
1.68693,1.81983,1.07236
1.68693,1.89718,0.236035
1.68693,2.28024,1.05781
1.68693,2.44967,0.730555
1.68693,2.55281,0.432388
1.68693,2.69646,0.643286
1.68693,2.84747,0.683284
1.68693,2.8843,0.51602
1.68693,2.97639,0.574199
1.68693,3.00217,0.81055
1.68693,3.02058,2.42865
1.68693,2.92114,3.20315
1.68693,2.60437,2.48683
1.68693,2.44967,2.83226
1.68693,2.32076,3.06862
1.68693,2.18448,2.87953
1.68693,2.02978,2.89044
1.68693,1.9819,3.01407
1.68693,1.90455,2.95589
1.68693,1.85667,2.78499
1.68693,1.8272,1.09054
1.68693,1.9156,0.265124
1.68693,2.26551,1.05417
1.68693,2.44967,0.752372
1.68693,2.56017,0.42148
1.68693,2.69277,0.636014
1.68693,2.85115,0.679648
1.68693,2.88062,0.494203
1.68693,2.96902,0.566927
1.68693,3.00953,0.806914
1.68693,3.0169,2.43956
1.68693,2.92482,3.19952
1.68693,2.58227,2.4941
1.68693,2.43862,2.82863
1.68693,2.31339,3.07225
1.68693,2.20289,2.90135
1.68693,2.0482,2.88681
1.68693,1.98926,3.01771
1.68693,1.88245,2.9668
1.68693,1.8493,2.77772
1.68693,1.83457,1.09781
1.68693,1.91928,0.25058
1.68693,2.26919,1.07236
1.68693,2.46072,0.723282
1.68693,2.56386,0.425116
1.68693,2.69646,0.654195
1.68693,2.85115,0.66874
1.68693,2.8843,0.505112
1.68693,2.95429,0.559654
1.68693,3.03163,0.803278
1.68693,3.02427,2.43956
1.68693,2.9285,3.20315
1.68693,2.57491,2.4941
1.68693,2.43494,2.85772
1.68693,2.32813,3.0868
1.68693,2.20289,2.89044
1.68693,2.02241,2.86863
1.68693,1.98926,3.03589
1.68693,1.88613,2.94499
1.68693,1.86403,2.75954
1.68693,1.8272,1.0869
1.68693,1.90823,0.261488
1.68693,2.26551,1.05417
1.68693,2.46441,0.745099
1.68693,2.56017,0.414207
1.68693,2.68909,0.679648
1.68693,2.86589,0.66874
1.68693,2.88799,0.490567
1.68693,2.96534,0.588744
1.68693,3.00217,0.806914
1.68693,3.02795,2.4541
1.68693,2.93219,3.21406
1.68693,2.58964,2.48319
1.68693,2.43126,2.85044
1.68693,2.32813,3.09043
1.68693,2.18079,2.89044
1.68693,2.0482,2.87953
1.68693,1.99295,3.01771
1.68693,1.91191,2.96317
1.68693,1.8493,2.75954
1.68693,1.8493,1.08326
1.68693,1.91191,0.257852
1.68693,2.27656,1.0469
1.68693,2.45704,0.726918
1.68693,2.56017,0.417844
1.68693,2.70014,0.657831
1.68693,2.86589,0.672376
1.68693,2.89904,0.508748
1.68693,2.97639,0.570563
1.68693,2.99848,0.788733
1.68693,3.02427,2.43956
1.68693,2.92482,3.22497
1.68693,2.58596,2.49046
1.68693,2.44967,2.85408
1.68693,2.32444,3.09407
1.68693,2.19921,2.89044
1.68693,2.05188,2.89408
1.68693,1.9819,3.03225
1.68693,1.91191,2.9668
1.68693,1.8493,2.78136
1.68693,1.83088,1.09417
1.68693,1.90823,0.261488
1.68693,2.28393,1.06145
1.68693,2.46441,0.741463
1.68693,2.56754,0.410571
1.68693,2.68909,0.654195
1.68693,2.85484,0.683284
1.68693,2.88799,0.51602
1.68693,2.95429,0.585108
1.68693,3.01322,0.806914
1.68693,3.0169,2.44683
1.68693,2.9506,3.20315
1.68693,2.58227,2.47592
1.68693,2.43862,2.83954
1.68693,2.32076,3.07952
1.68693,2.19553,2.89771
1.68693,2.03715,2.88317
1.68693,2.004,3.02134
1.68693,1.8935,2.97407
1.68693,1.83825,2.76318
1.68693,1.83088,1.08326
1.68693,1.9156,0.265124
1.68693,2.27656,1.06508
1.68693,2.44231,0.745099
1.68693,2.56754,0.428752
1.68693,2.69646,0.657831
1.68693,2.86589,0.686921
1.68693,2.88799,0.508748
1.68693,2.9727,0.581471
1.68693,3.00585,0.803278
1.68693,3.03163,2.43956
1.68693,2.93587,3.20315
1.68693,2.57491,2.4941
1.68693,2.42389,2.82499
1.68693,2.30971,3.08316
1.68693,2.20658,2.88681
1.68693,2.00768,2.87953
1.68693,2.00031,3.01407
1.68693,1.88613,2.95589
1.68693,1.85298,2.76681
1.68693,1.84562,1.07599
1.68693,1.9156,0.26876
1.68693,2.26183,1.05417
1.68693,2.44231,0.730555
1.68693,2.57122,0.425116
1.68693,2.69646,0.650559
1.68693,2.84747,0.672376
1.68693,2.87694,0.519656
1.68693,2.98007,0.574199
1.68693,2.9948,0.79237
1.68693,3.01322,2.43592
1.68693,2.93219,3.21043
1.68693,2.58596,2.48683
1.68693,2.43862,2.81772
1.68693,2.31339,3.09043
1.68693,2.18816,2.88317
1.68693,2.03346,2.87226
1.68693,1.97453,3.02862
1.68693,1.90086,2.95953
1.68693,1.83825,2.76318
1.68693,1.81615,1.06872
1.68693,1.93401,0.265124
1.68693,2.28024,1.07236
1.68693,2.45704,0.748735
1.68693,2.54912,0.428752
1.68693,2.69277,0.63965
1.68693,2.85484,0.676012
1.68693,2.90272,0.501476
1.68693,2.95429,0.570563
1.68693,3.00217,0.799642
1.68693,3.00585,2.44319
1.68693,2.9285,3.19588
1.68693,2.59332,2.50137
1.68693,2.45336,2.82136
1.68693,2.32076,3.07589
1.68693,2.17343,2.89408
1.68693,2.01505,2.89044
1.68693,1.97085,3.02498
1.68693,1.90086,2.96317
1.68693,1.8493,2.75954
1.68693,1.84562,1.07599
1.68693,1.8935,0.246943
1.68693,2.25078,1.05417
1.68693,2.44599,0.748735
1.68693,2.57859,0.414207
1.68693,2.69277,0.621469
1.68693,2.85852,0.66874
1.68693,2.87325,0.505112
1.68693,2.96165,0.570563
1.68693,2.99112,0.799642
1.68693,3.03532,2.42501
1.68693,2.92482,3.19952
1.68693,2.58964,2.47955
1.68693,2.43126,2.82863
1.68693,2.32813,3.06862
1.68693,2.18448,2.88681
1.68693,2.03715,2.88317
1.68693,1.9819,3.01771
1.68693,1.88982,2.95589
1.68693,1.83457,2.77045
1.68693,1.81983,1.09054
1.68693,1.91191,0.243307
1.68693,2.26919,1.05417
1.68693,2.44599,0.734191
1.68693,2.56386,0.42148
1.68693,2.69646,0.654195
1.68693,2.8622,0.676012
1.68693,2.8843,0.519656
1.68693,2.96165,0.570563
1.68693,3.00217,0.785097
1.68693,3.02427,2.42501
1.68693,2.93587,3.19588
1.68693,2.58596,2.4941
1.68693,2.44231,2.84681
1.68693,2.30603,3.07952
1.68693,2.19553,2.89771
1.68693,2.02241,2.87953
1.68693,1.98926,3.01771
1.68693,1.90455,2.94862
1.68693,1.83825,2.7559
1.68693,1.84562,1.09054
1.68693,1.90823,0.25058
1.68693,2.26919,1.06145
1.68693,2.44967,0.748735
1.68693,2.56386,0.428752
1.68693,2.68541,0.643286
1.68693,2.84379,0.676012
1.68693,2.90272,0.490567
1.68693,2.96165,0.570563
1.68693,3.01322,0.796006
1.68693,3.03532,2.43956
1.68693,2.94324,3.19952
1.68693,2.59332,2.4941
1.68693,2.45336,2.83954
1.68693,2.32444,3.07952
1.68693,2.20289,2.88681
1.68693,2.05556,2.87953
1.68693,1.98926,3.01771
1.68693,1.89718,2.95589
1.68693,1.85298,2.77772
1.68693,1.84193,1.09054
1.68693,1.91191,0.254216
1.68693,2.28024,1.06508
1.68693,2.45704,0.741463
1.68693,2.56017,0.425116
1.68693,2.68172,0.63965
1.68693,2.85115,0.683284
1.68693,2.8843,0.526929
1.68693,2.96534,0.566927
1.68693,3.02058,0.796006
1.68693,3.00217,2.43956
1.68693,2.93587,3.20315
1.68693,2.57859,2.49774
1.68693,2.42389,2.81772
1.68693,2.31708,3.10134
1.68693,2.18448,2.89044
1.68693,2.01873,2.8759
1.68693,1.99663,3.02498
1.68693,1.90086,2.95226
1.68693,1.85667,2.76681
1.68693,1.8493,1.10144
1.68693,1.88982,0.272397
1.68693,2.28393,1.07599
1.68693,2.43862,0.759644
1.68693,2.56386,0.432388
1.68693,2.68909,0.654195
1.68693,2.85852,0.679648
1.68693,2.88062,0.512384
1.68693,2.96165,0.577835
1.68693,3.02427,0.806914
1.68693,3.00953,2.43956
1.68693,2.94692,3.20679
1.68693,2.58964,2.49774
1.68693,2.43126,2.83954
1.68693,2.32444,3.08316
1.68693,2.21026,2.87953
1.68693,2.01505,2.88317
1.68693,1.98926,3.01044
1.68693,1.88982,2.9668
1.68693,1.83825,2.7559
1.68693,1.83825,1.10872
1.68693,1.9156,0.261488
1.68693,2.26551,1.06508
1.68693,2.43126,0.745099
1.68693,2.56386,0.414207
1.68693,2.68172,0.650559
1.68693,2.85115,0.686921
1.68693,2.87694,0.505112
1.68693,2.97639,0.59238
1.68693,3.02427,0.81055
1.68693,3.00217,2.42865
1.68693,2.9285,3.2177
1.68693,2.57491,2.48683
1.68693,2.44599,2.84681
1.68693,2.30603,3.08316
1.68693,2.20658,2.88681
1.68693,2.02978,2.8759
1.68693,1.99295,3.03225
1.68693,1.90086,2.96317
1.68693,1.85667,2.77772
1.68693,1.84562,1.09054
1.68693,1.91928,0.272397
1.68693,2.27288,1.07236
1.68693,2.45704,0.756008
1.68693,2.54176,0.425116
1.68693,2.68909,0.665103
1.68693,2.86589,0.66874
1.68693,2.87694,0.508748
1.68693,2.96534,0.596016
1.68693,3.00585,0.806914
1.68693,3.03532,2.43592
1.68693,2.91745,3.21406
1.68693,2.57491,2.50501
1.68693,2.42758,2.86135
1.68693,2.29866,3.0868
1.68693,2.18816,2.90135
1.68693,2.01873,2.89408
1.68693,2.004,3.02498
1.68693,1.90086,2.9668
1.68693,1.84562,2.78136
1.68693,1.8493,1.10144
1.68693,1.91191,0.246943
1.68693,2.26183,1.05781
1.68693,2.44599,0.748735
1.68693,2.55649,0.417844
1.68693,2.69277,0.66874
1.68693,2.85484,0.676012
1.68693,2.88799,0.523293
1.68693,2.96902,0.588744
1.68693,3.00953,0.803278
1.68693,2.9948,2.45047
1.68693,2.93587,3.21043
1.68693,2.59332,2.50864
1.68693,2.43126,2.82499
1.68693,2.31708,3.0868
1.68693,2.19921,2.91226
1.68693,2.02241,2.89044
1.68693,2.004,3.02134
1.68693,1.89718,2.94499
1.68693,1.83457,2.77408
1.68693,1.82352,1.10144
1.68693,1.90455,0.254216
1.68693,2.25446,1.06508
1.68693,2.43494,0.759644
1.68693,2.56017,0.42148
1.68693,2.68541,0.654195
1.68693,2.85115,0.686921
1.68693,2.8843,0.519656
1.68693,2.98007,0.574199
1.68693,2.99848,0.803278
1.68693,3.01322,2.46137
1.68693,2.92482,3.21043
1.68693,2.60069,2.50501
1.68693,2.41653,2.83226
1.68693,2.30234,3.09043
1.68693,2.18816,2.89408
1.68693,2.03715,2.87953
1.68693,1.98926,3.02498
1.68693,1.88982,2.97407
1.68693,1.84193,2.77408
1.68693,1.83825,1.10144
1.68693,1.9156,0.254216
1.68693,2.26183,1.07599
1.68693,2.44599,0.748735
1.68693,2.56386,0.414207
1.68693,2.68909,0.646923
1.68693,2.83274,0.676012
1.68693,2.8843,0.51602
1.68693,2.94692,0.563291
1.68693,3.00217,0.817823
1.68693,3.00217,2.42138
1.68693,2.92482,3.2177
1.68693,2.57859,2.48319
1.68693,2.42389,2.84681
1.68693,2.32444,3.09407
1.68693,2.17711,2.89408
1.68693,2.02241,2.89408
1.68693,1.99663,3.02862
1.68693,1.90823,2.95226
1.68693,1.84562,2.7559
1.68693,1.83088,1.10872
1.68693,1.91928,0.261488
1.68693,2.27288,1.06872
1.68693,2.44599,0.756008
1.68693,2.56386,0.425116
1.68693,2.69646,0.643286
1.68693,2.84747,0.694193
1.68693,2.9064,0.526929
1.68693,2.96902,0.559654
1.68693,3.00217,0.817823
1.68693,3.03532,2.44319
1.68693,2.93219,3.2177
1.68693,2.58596,2.49046
1.68693,2.43494,2.83954
1.68693,2.33181,3.09043
1.68693,2.20658,2.90862
1.68693,2.04451,2.88681
1.68693,1.97453,3.02862
1.68693,1.8935,2.94862
1.68693,1.83457,2.78136
1.68693,1.84562,1.10508
1.68693,1.92665,0.246943
1.68693,2.25446,1.07599
1.68693,2.46441,0.748735
1.68693,2.55649,0.42148
1.68693,2.68909,0.650559
1.68693,2.86589,0.679648
1.68693,2.8843,0.530565
1.68693,2.96165,0.581471
1.68693,2.9948,0.81055
1.68693,2.99848,2.44319
1.68693,2.93219,3.20679
1.68693,2.58596,2.50864
1.68693,2.43494,2.83954
1.68693,2.30603,3.07589
1.68693,2.20289,2.90135
1.68693,2.04083,2.89771
1.68693,1.9819,3.02498
1.68693,1.88613,2.95953
1.68693,1.84562,2.76681
1.68693,1.8493,1.09417
1.68693,1.90455,0.26876
1.68693,2.29498,1.05417
1.68693,2.44599,0.756008
1.68693,2.57491,0.410571
1.68693,2.68172,0.646923
1.68693,2.85852,0.683284
1.68693,2.86589,0.519656
1.68693,2.96902,0.585108
1.68693,2.9948,0.81055
1.68693,3.01322,2.43592
1.68693,2.93219,3.19588
1.68693,2.57859,2.49774
1.68693,2.45336,2.85408
1.68693,2.31339,3.10861
1.68693,2.20658,2.90135
1.68693,2.04083,2.90499
1.68693,1.99295,3.01407
1.68693,1.90823,2.95589
1.68693,1.84562,2.7559
1.68693,1.83825,1.10508
1.68693,1.90823,0.265124
1.68693,2.25814,1.06872
1.68693,2.45336,0.741463
1.68693,2.56386,0.425116
1.68693,2.68541,0.650559
1.68693,2.85852,0.676012
1.68693,2.89167,0.505112
1.68693,2.96902,0.59238
1.68693,3.01322,0.803278
1.68693,3.0169,2.43592
1.68693,2.93587,3.19952
1.68693,2.58964,2.49774
1.68693,2.44231,2.8359
1.68693,2.30971,3.09407
1.68693,2.20289,2.88317
1.68693,2.0261,2.87953
1.68693,1.99663,3.02134
1.68693,1.89718,2.9668
1.68693,1.86772,2.76318
1.68693,1.8272,1.10144
1.68693,1.93033,0.261488
1.68693,2.27656,1.06508
1.68693,2.45704,0.745099
1.68693,2.57122,0.432388
1.68693,2.68541,0.63965
1.68693,2.85484,0.679648
1.68693,2.89904,0.505112
1.68693,2.95797,0.585108
1.68693,3.01322,0.814187
1.68693,3.02427,2.43592
1.68693,2.92482,3.21043
1.68693,2.58596,2.49046
1.68693,2.43494,2.82863
1.68693,2.33181,3.08316
1.68693,2.21394,2.89408
1.68693,2.02978,2.89408
1.68693,1.99663,3.00316
1.68693,1.90086,2.95589
1.68693,1.84562,2.76318
1.68693,1.84193,1.10872
1.68693,1.92296,0.25058
1.68693,2.30234,1.06508
1.68693,2.45704,0.741463
1.68693,2.57122,0.417844
1.68693,2.70014,0.63965
1.68693,2.85484,0.686921
1.68693,2.89167,0.51602
1.68693,2.96534,0.599652
1.68693,2.99848,0.777825
1.68693,3.03163,2.44319
1.68693,2.93587,3.19952
1.68693,2.58964,2.4941
1.68693,2.45704,2.82499
1.68693,2.29498,3.0868
1.68693,2.19921,2.88681
1.68693,2.04083,2.88681
1.68693,2.00031,3.02498
1.68693,1.88613,2.9668
1.68693,1.84562,2.76681
1.68693,1.83457,1.09054
1.68693,1.9156,0.276033
1.68693,2.26183,1.06872
1.68693,2.46072,0.741463
1.68693,2.56386,0.425116
1.68693,2.70014,0.672376
1.68693,2.87694,0.66874
1.68693,2.88062,0.508748
1.68693,2.97639,0.59238
1.68693,2.99112,0.806914
1.68693,3.02058,2.43592
1.68693,2.92482,3.22861
1.68693,2.58964,2.49046
1.68693,2.44967,2.8359
1.68693,2.32444,3.0868
1.68693,2.21763,2.89408
1.68693,2.03346,2.87226
1.68693,2.00031,3.02134
1.68693,1.89718,2.95589
1.68693,1.84562,2.75227
1.68693,1.8493,1.12326
1.68693,1.91191,0.261488
1.68693,2.26919,1.07236
1.68693,2.43862,0.756008
1.68693,2.56386,0.446933
1.68693,2.68172,0.63965
1.68693,2.85115,0.694193
1.68693,2.87694,0.523293
1.68693,2.95797,0.585108
1.68693,3.00953,0.81055
1.68693,3.0169,2.44683
1.68693,2.93219,3.22861
1.68693,2.60437,2.50864
1.68693,2.44231,2.83226
1.68693,2.31339,3.09043
1.68693,2.19921,2.89408
1.68693,2.03346,2.90135
1.68693,1.99663,3.02862
1.68693,1.90455,2.9668
1.68693,1.86035,2.77772
1.68693,1.8272,1.10872
1.68693,1.91191,0.261488
1.68693,2.27288,1.06145
1.68693,2.46072,0.752372
1.68693,2.57122,0.417844
1.68693,2.68172,0.643286
1.68693,2.86957,0.661467
1.68693,2.8843,0.51602
1.68693,2.96165,0.574199
1.68693,3.01322,0.814187
1.68693,3.02427,2.44683
1.68693,2.93219,3.22133
1.68693,2.59332,2.50137
1.68693,2.43126,2.85772
1.68693,2.32076,3.07589
1.68693,2.20289,2.9159
1.68693,2.01505,2.89044
1.68693,1.99663,3.03953
1.68693,1.90086,2.96317
1.68693,1.84193,2.76318
1.68693,1.83457,1.11963
1.68693,1.9156,0.25058
1.68693,2.25814,1.06508
1.68693,2.44231,0.752372
1.68693,2.56017,0.425116
1.68693,2.68909,0.646923
1.68693,2.85852,0.694193
1.68693,2.87694,0.512384
1.68693,2.96902,0.581471
1.68693,3.00585,0.799642
1.68693,3.01322,2.45774
1.68693,2.93587,3.2177
1.68693,2.59332,2.50137
1.68693,2.44599,2.83226
1.68693,2.31708,3.07589
1.68693,2.19553,2.89771
1.68693,2.03715,2.89044
1.68693,2.004,3.02134
1.68693,1.90086,2.95953
1.68693,1.85298,2.77045
1.68693,1.83457,1.09054
1.68693,1.91191,0.257852
1.68693,2.26551,1.06145
1.68693,2.44599,0.759644
1.68693,2.56386,0.428752
1.68693,2.70014,0.654195
1.68693,2.84747,0.694193
1.68693,2.87694,0.519656
1.68693,2.9727,0.577835
1.68693,3.00585,0.814187
1.68693,3.02795,2.45047
1.68693,2.93219,3.22133
1.68693,2.61174,2.49046
1.68693,2.44599,2.84317
1.68693,2.31339,3.06862
1.68693,2.19921,2.88317
1.68693,2.04083,2.90135
1.68693,2.00031,3.02498
1.68693,1.88613,2.94135
1.68693,1.84193,2.76318
1.68693,1.83825,1.09417
1.68693,1.90455,0.261488
1.68693,2.25814,1.07599
1.68693,2.46072,0.76328
1.68693,2.54544,0.432388
1.68693,2.69277,0.650559
1.68693,2.85115,0.676012
1.68693,2.8843,0.523293
1.68693,2.98375,0.59238
1.68693,3.01322,0.81055
1.68693,3.02058,2.43592
1.68693,2.93219,3.2177
1.68693,2.56386,2.50137
1.68693,2.44231,2.85408
1.68693,2.30234,3.09043
1.68693,2.19921,2.87953
1.68693,2.05188,2.90862
1.68693,2.004,3.02862
1.68693,1.89718,2.95226
1.68693,1.83825,2.78499
1.68693,1.83088,1.09781
1.68693,1.93033,0.254216
1.68693,2.26919,1.06508
1.68693,2.44231,0.734191
1.68693,2.56386,0.443297
1.68693,2.68541,0.661467
1.68693,2.85484,0.683284
1.68693,2.8843,0.523293
1.68693,2.9506,0.596016
1.68693,3.00585,0.806914
1.68693,3.02427,2.45774
1.68693,2.92114,3.21043
1.68693,2.57122,2.48683
1.68693,2.43494,2.83226
1.68693,2.30234,3.09043
1.68693,2.21026,2.89044
1.68693,2.02241,2.90135
1.68693,1.99663,3.01407
1.68693,1.90086,2.94862
1.68693,1.83825,2.77045
1.68693,1.84193,1.10144
1.68693,1.89718,0.257852
1.68693,2.26183,1.06872
1.68693,2.43126,0.741463
1.68693,2.58964,0.42148
1.68693,2.67067,0.646923
1.68693,2.85115,0.683284
1.68693,2.88799,0.512384
1.68693,2.96902,0.585108
1.68693,2.98375,0.803278
1.68693,3.01322,2.44319
1.68693,2.94324,3.21406
1.68693,2.58596,2.50864
1.68693,2.43126,2.8359
1.68693,2.30971,3.07589
1.68693,2.21394,2.90499
1.68693,2.02241,2.89044
1.68693,1.98926,3.01044
1.68693,1.89718,2.95953
1.68693,1.86035,2.77408
1.68693,1.84193,1.12326
1.68693,1.90455,0.257852
1.68693,2.26919,1.06508
1.68693,2.45336,0.741463
1.68693,2.55281,0.428752
1.68693,2.68909,0.654195
1.68693,2.85484,0.697829
1.68693,2.8843,0.512384
1.68693,2.96534,0.570563
1.68693,3.01322,0.799642
1.68693,3.02058,2.45047
1.68693,2.93587,3.20679
1.68693,2.59701,2.48683
1.68693,2.41653,2.82863
1.68693,2.33549,3.0868
1.68693,2.19921,2.87953
1.68693,2.04083,2.87953
1.68693,1.99663,3.02498
1.68693,1.89718,2.95589
1.68693,1.84193,2.76681
1.68693,1.84562,1.10144
1.68693,1.90823,0.243307
1.68693,2.25814,1.05054
1.68693,2.44967,0.745099
1.68693,2.54912,0.417844
1.68693,2.7075,0.657831
1.68693,2.8622,0.683284
1.68693,2.89167,0.512384
1.68693,2.96902,0.585108
1.68693,3.02058,0.81055
1.68693,3.00217,2.43956
1.68693,2.93587,3.19952
1.68693,2.57859,2.4941
1.68693,2.43494,2.81408
1.68693,2.31339,3.07589
1.68693,2.20658,2.88681
1.68693,2.02241,2.88681
1.68693,2.004,3.02498
1.68693,1.87877,2.95953
1.68693,1.84562,2.75227
1.68693,1.83457,1.0869
1.68693,1.89718,0.26876
1.68693,2.26919,1.05417
1.68693,2.46809,0.756008
1.68693,2.56017,0.425116
1.68693,2.69277,0.63965
1.68693,2.8622,0.672376
1.68693,2.8843,0.508748
1.68693,2.96165,0.585108
1.68693,2.98375,0.806914
1.68693,3.0169,2.43592
1.68693,2.93587,3.19588
1.68693,2.57122,2.50137
1.68693,2.45704,2.8359
1.68693,2.31339,3.08316
1.68693,2.19553,2.89771
1.68693,2.0261,2.90135
1.68693,1.97453,3.01407
1.68693,1.88613,2.96317
1.68693,1.85298,2.76681
1.68693,1.83825,1.09417
1.68693,1.90823,0.261488
1.68693,2.26183,1.05417
1.68693,2.46441,0.756008
1.68693,2.57859,0.414207
1.68693,2.69646,0.643286
1.68693,2.85484,0.679648
1.68693,2.89167,0.508748
1.68693,2.96534,0.581471
1.68693,3.00585,0.806914
1.68693,3.03163,2.45047
1.68693,2.93219,3.19588
1.68693,2.58964,2.50137
1.68693,2.42758,2.84317
1.68693,2.30971,3.10861
1.68693,2.18816,2.89408
1.68693,2.02978,2.89044
1.68693,2.004,3.02134
1.68693,1.91191,2.95226
1.68693,1.85298,2.76681
1.68693,1.81983,1.09781
1.68693,1.92665,0.26876
